"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7588","should not have any automatically detectable WCAG A or AA violations","webkit","Fri Mar 14 16:37:41 CET 2025","failed","Fri Mar 14 16:37:49 CET 2025","","","",""
"","2751","has title","chromium","Fri Mar 14 16:37:28 CET 2025","passed","Fri Mar 14 16:37:31 CET 2025","","","",""
"","2659","get started link","webkit","Fri Mar 14 16:37:38 CET 2025","passed","Fri Mar 14 16:37:41 CET 2025","","","",""
"","545","get started link","firefox","Fri Mar 14 16:37:30 CET 2025","passed","Fri Mar 14 16:37:31 CET 2025","","","",""
"","2017","has title","webkit","Fri Mar 14 16:37:37 CET 2025","passed","Fri Mar 14 16:37:39 CET 2025","","","",""
"","6723","should not have any automatically detectable WCAG A or AA violations","chromium","Fri Mar 14 16:37:29 CET 2025","failed","Fri Mar 14 16:37:35 CET 2025","","","",""
"","30031","navigation menu flyout should not have automatically detectable accessibility violations","chromium","Fri Mar 14 16:37:29 CET 2025","broken","Fri Mar 14 16:37:59 CET 2025","","","",""
"","7541","should not have any automatically detectable WCAG A or AA violations","firefox","Fri Mar 14 16:37:33 CET 2025","failed","Fri Mar 14 16:37:41 CET 2025","","","",""
"","2877","get started link","chromium","Fri Mar 14 16:37:28 CET 2025","passed","Fri Mar 14 16:37:31 CET 2025","","","",""
"","9425","to verify axe WCAG rules accessibility issues","firefox","Fri Mar 14 16:37:31 CET 2025","passed","Fri Mar 14 16:37:40 CET 2025","homepage","","",""
"","7181","to verify axe WCAG rules accessibility issues","chromium","Fri Mar 14 16:37:29 CET 2025","passed","Fri Mar 14 16:37:36 CET 2025","homepage","","",""
"","30054","navigation menu flyout should not have automatically detectable accessibility violations","firefox","Fri Mar 14 16:37:33 CET 2025","broken","Fri Mar 14 16:38:03 CET 2025","","","",""
"","30035","navigation menu flyout should not have automatically detectable accessibility violations","webkit","Fri Mar 14 16:37:43 CET 2025","broken","Fri Mar 14 16:38:13 CET 2025","","","",""
"","1123","has title","firefox","Fri Mar 14 16:37:28 CET 2025","passed","Fri Mar 14 16:37:30 CET 2025","","","",""
"","8210","to verify axe WCAG rules accessibility issues","webkit","Fri Mar 14 16:37:40 CET 2025","passed","Fri Mar 14 16:37:48 CET 2025","homepage","","",""
