"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4830","navigation menu flyout should not have automatically detectable accessibility violations","firefox","Tue Mar 18 10:18:42 UTC 2025","passed","Tue Mar 18 10:18:47 UTC 2025","","test-scan.spec.ts","",""
"","1413","has title","webkit","Tue Mar 18 10:19:08 UTC 2025","passed","Tue Mar 18 10:19:10 UTC 2025","","regular.spec.ts","",""
"","4497","to verify axe WCAG rules accessibility issues","chromium","Tue Mar 18 10:18:07 UTC 2025","passed","Tue Mar 18 10:18:11 UTC 2025","homepage","test-axe.spec.ts","",""
"","5278","should not have any automatically detectable WCAG A or AA violations","firefox","Tue Mar 18 10:19:02 UTC 2025","failed","Tue Mar 18 10:19:07 UTC 2025","","wcag-test.spec.ts","",""
"","548","get started link","firefox","Tue Mar 18 10:18:36 UTC 2025","passed","Tue Mar 18 10:18:37 UTC 2025","","regular.spec.ts","",""
"","1123","has title","firefox","Fri Mar 14 15:37:28 UTC 2025","passed","Fri Mar 14 15:37:30 UTC 2025","","","",""
"","545","get started link","firefox","Fri Mar 14 15:37:30 UTC 2025","passed","Fri Mar 14 15:37:31 UTC 2025","","","",""
"","6705","navigation menu flyout should not have automatically detectable accessibility violations","chromium","Tue Mar 18 10:18:11 UTC 2025","passed","Tue Mar 18 10:18:18 UTC 2025","","test-scan.spec.ts","",""
"","3729","should not have any automatically detectable WCAG A or AA violations","chromium","Tue Mar 18 10:18:30 UTC 2025","failed","Tue Mar 18 10:18:34 UTC 2025","","wcag-test.spec.ts","",""
"","2017","has title","webkit","Fri Mar 14 15:37:37 UTC 2025","passed","Fri Mar 14 15:37:39 UTC 2025","","","",""
"","2751","has title","chromium","Fri Mar 14 15:37:28 UTC 2025","passed","Fri Mar 14 15:37:31 UTC 2025","","","",""
"","5540","should not have any automatically detectable WCAG A or AA violations","webkit","Tue Mar 18 10:19:41 UTC 2025","failed","Tue Mar 18 10:19:46 UTC 2025","","wcag-test.spec.ts","",""
"","4953","to verify axe WCAG rules accessibility issues","firefox","Tue Mar 18 10:18:37 UTC 2025","passed","Tue Mar 18 10:18:42 UTC 2025","homepage","test-axe.spec.ts","",""
"","2877","get started link","chromium","Fri Mar 14 15:37:28 UTC 2025","passed","Fri Mar 14 15:37:31 UTC 2025","","","",""
"","2659","get started link","webkit","Fri Mar 14 15:37:38 UTC 2025","passed","Fri Mar 14 15:37:41 UTC 2025","","","",""
"","434","has title","chromium","Tue Mar 18 10:18:05 UTC 2025","passed","Tue Mar 18 10:18:06 UTC 2025","","regular.spec.ts","",""
"","5027","to verify axe WCAG rules accessibility issues","webkit","Tue Mar 18 10:19:13 UTC 2025","passed","Tue Mar 18 10:19:18 UTC 2025","homepage","test-axe.spec.ts","",""
"","1091","has title","firefox","Tue Mar 18 10:18:35 UTC 2025","passed","Tue Mar 18 10:18:36 UTC 2025","","regular.spec.ts","",""
"","387","get started link","chromium","Tue Mar 18 10:18:06 UTC 2025","passed","Tue Mar 18 10:18:06 UTC 2025","","regular.spec.ts","",""
"","2127","get started link","webkit","Tue Mar 18 10:19:10 UTC 2025","passed","Tue Mar 18 10:19:12 UTC 2025","","regular.spec.ts","",""
"","5997","navigation menu flyout should not have automatically detectable accessibility violations","webkit","Tue Mar 18 10:19:18 UTC 2025","passed","Tue Mar 18 10:19:24 UTC 2025","","test-scan.spec.ts","",""
